Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
TargetScan_microRNA_2017,mmu-miR-3066,1/1466,0.6809136973887143,0.7941220494982242,0,0,0.9029741589468552,0.3470307669958342,CREBRF
TargetScan_microRNA_2017,hsa-miR-3180-3p,1/1475,0.6832308730571203,0.7941220494982242,0,0,0.8970246171738709,0.3416968136533104,TSPYL2
TargetScan_microRNA_2017,hsa-miR-3180,1/1475,0.6832308730571203,0.7941220494982242,0,0,0.8970246171738709,0.3416968136533104,TSPYL2
TargetScan_microRNA_2017,hsa-miR-3196,1/1475,0.6832308730571203,0.7941220494982242,0,0,0.8970246171738709,0.3416968136533104,TSPYL2
TargetScan_microRNA_2017,mmu-miR-675-3p,1/1488,0.6865501901563315,0.7941220494982242,0,0,0.8885579786723028,0.3341652826188742,CREBRF
TargetScan_microRNA_2017,mmu-miR-1196,1/1517,0.6938381920662988,0.7941220494982242,0,0,0.8701941198643046,0.3180703075356662,CREBRF
TargetScan_microRNA_2017,mmu-miR-380-5p,1/1518,0.6940866586416057,0.7941220494982242,0,0,0.869573406158772,0.317532084033418,CREBRF
TargetScan_microRNA_2017,hsa-miR-3613-5p,1/1519,0.6943349370803056,0.7941220494982242,0,0,0.868953510257858,0.3169949501527387,PLA2G4C
TargetScan_microRNA_2017,hsa-miR-4671-3p,1/1528,0.6965609948621434,0.7941220494982242,0,0,0.8634109832538124,0.3122093392013862,INHBE
TargetScan_microRNA_2017,mmu-miR-3964,1/1532,0.697545488947323,0.7941220494982242,0,0,0.8609685546328264,0.310110154565083,CREBRF
TargetScan_microRNA_2017,hsa-miR-103b,1/1545,0.7007245447158739,0.7941220494982242,0,0,0.8531180606957809,0.3034032614639402,CREBRF
TargetScan_microRNA_2017,hsa-miR-3144-3p,1/1548,0.7014537304700679,0.7941220494982242,0,0,0.8513251454427925,0.3018801856881795,CD200R1
TargetScan_microRNA_2017,hsa-miR-3117-3p,1/1565,0.7055545588717413,0.7941220494982242,0,0,0.841295213737669,0.2934195219463154,PLA2G4C
TargetScan_microRNA_2017,hsa-miR-4305,1/1571,0.7069893138313625,0.7941220494982242,0,0,0.8378070973612375,0.290501005061302,CREBRF
TargetScan_microRNA_2017,hsa-miR-4661-3p,1/1578,0.7086549467568724,0.7941220494982242,0,0,0.833771174925265,0.2871395758018624,CREBRF
TargetScan_microRNA_2017,mmu-miR-34b-3p,1/1579,0.7088921716409878,0.7941220494982242,0,0,0.8331975375701611,0.2866631535071776,PLA2G4C
TargetScan_microRNA_2017,mmu-miR-1905,1/1599,0.7135989766146056,0.7941220494982242,0,0,0.821875558734132,0.2773288656367639,CREBRF
TargetScan_microRNA_2017,hsa-miR-4460,1/1601,0.7140657296986637,0.7941220494982242,0,0,0.8207589285714286,0.2764154073955935,INHBE
TargetScan_microRNA_2017,mmu-miR-434-3p,1/1604,0.7147645283028944,0.7941220494982242,0,0,0.819089207735496,0.2750518937162823,INHBE
TargetScan_microRNA_2017,hsa-miR-1258,1/1607,0.7154617326369072,0.7941220494982242,0,0,0.8174257249599716,0.2736963379249685,PLA2G4C
TargetScan_microRNA_2017,mmu-miR-3098-5p,1/1608,0.7156937804264388,0.7941220494982242,0,0,0.8168726108987465,0.2732462445915936,CXCL1
TargetScan_microRNA_2017,mmu-miR-540-5p,1/1612,0.7166202063949157,0.7941220494982242,0,0,0.8146670213709319,0.2714546091184391,LPXN
TargetScan_microRNA_2017,mmu-miR-465c-3p,1/1612,0.7166202063949157,0.7941220494982242,0,0,0.8146670213709319,0.2714546091184391,CCL4
TargetScan_microRNA_2017,mmu-miR-465b-3p,1/1612,0.7166202063949157,0.7941220494982242,0,0,0.8146670213709319,0.2714546091184391,CCL4
TargetScan_microRNA_2017,mmu-miR-465a-3p,1/1612,0.7166202063949157,0.7941220494982242,0,0,0.8146670213709319,0.2714546091184391,CCL4
TargetScan_microRNA_2017,hsa-miR-3622a-5p,1/1624,0.7193826071258107,0.7941220494982242,0,0,0.8081154827920077,0.2661624709781266,CXCL1
TargetScan_microRNA_2017,hsa-miR-4796-5p,1/1626,0.7198405563873765,0.7941220494982242,0,0,0.807032967032967,0.2652923486585014,RND1
TargetScan_microRNA_2017,mmu-miR-188-5p,1/1629,0.7205261725801648,0.7941220494982242,0,0,0.8054141804141804,0.2639934559712018,BIRC3
TargetScan_microRNA_2017,hsa-miR-4715-5p,1/1631,0.7209823797810091,0.7941220494982242,0,0,0.8043382997370727,0.2631316983584857,LPXN
TargetScan_microRNA_2017,hsa-miR-3935,1/1637,0.7223468342066673,0.7941220494982242,0,0,0.8011264407963674,0.2605662752466342,CREBRF
TargetScan_microRNA_2017,mmu-miR-5116,1/1637,0.7223468342066673,0.7941220494982242,0,0,0.8011264407963674,0.2605662752466342,LPXN
TargetScan_microRNA_2017,mmu-miR-3074-1-3p,1/1647,0.7246070943249637,0.7941220494982242,0,0,0.7958253775386218,0.2563558146893182,CREBRF
TargetScan_microRNA_2017,mmu-miR-3103,1/1648,0.7248321732830239,0.7941220494982242,0,0,0.7952988116922544,0.2559391952860554,CREBRF
TargetScan_microRNA_2017,mmu-miR-486,1/1649,0.7250570805194245,0.7941220494982242,0,0,0.7947728848821082,0.2555233732809535,CREBRF
TargetScan_microRNA_2017,mmu-miR-3107,1/1649,0.7250570805194245,0.7941220494982242,0,0,0.7947728848821082,0.2555233732809535,CREBRF
TargetScan_microRNA_2017,mmu-miR-5046,1/1659,0.7272967360203948,0.7941220494982242,0,0,0.789548509391694,0.2514086045475422,BIRC3
TargetScan_microRNA_2017,hsa-miR-3529,1/1664,0.7284101674101832,0.7941220494982242,0,0,0.7869598831715489,0.249380482832752,INHBE
TargetScan_microRNA_2017,hsa-miR-379,1/1664,0.7284101674101832,0.7941220494982242,0,0,0.7869598831715489,0.249380482832752,INHBE
TargetScan_microRNA_2017,mmu-miR-382,1/1666,0.728854350737836,0.7941220494982242,0,0,0.7859287859287859,0.2485746254035281,CREBRF
TargetScan_microRNA_2017,mmu-miR-505-3p,1/1670,0.7297406839702896,0.7941220494982242,0,0,0.7838740049644783,0.2469720749862033,CREBRF
TargetScan_microRNA_2017,mmu-miR-3070a,1/1674,0.730624312498809,0.7941220494982242,0,0,0.7818290496114764,0.2453816504213119,INHBE
TargetScan_microRNA_2017,mmu-miR-3070b-3p,1/1674,0.730624312498809,0.7941220494982242,0,0,0.7818290496114764,0.2453816504213119,INHBE
TargetScan_microRNA_2017,hsa-miR-4777-3p,1/1681,0.7321641771534012,0.7941220494982242,0,0,0.7782738095238095,0.2426272527118143,INHBE
TargetScan_microRNA_2017,hsa-miR-3146,1/1682,0.7323834858865239,0.7941220494982242,0,0,0.777768335174641,0.2422367369420245,CREBRF
TargetScan_microRNA_2017,hsa-miR-1225-5p,1/1691,0.7343497366231444,0.7941220494982242,0,0,0.7732459847844463,0.2387550725887567,CREBRF
