symbol,log2FoldChange,pvalue,mean_zikv,mean_mock,padj
CCDC88A,-1.1651553132383916,8.117591476914522e-05,3.6182350086967197,4.783390321935111,0.0062194942770899065
ZBTB4,-1.0391172023342548,8.130133795226776e-05,2.463605650729974,3.502722853064229,0.0062194942770899065
SLC29A3,-1.0370080334856695,8.197674107851225e-05,4.136704200165992,5.173712233651662,0.0062194942770899065
RBM12,-0.9281885836949777,8.251777214882866e-05,2.139762157828465,3.067950741523443,0.0062194942770899065
RP11-16N11.2,0.4169033831355809,8.296717618687807e-05,0.5987434835717451,0.18184010043616422,0.0062194942770899065
CPEB4,1.3005069300610526,8.334532514754896e-05,4.6175417143684445,3.317034784307392,0.0062194942770899065
SRC,0.9691023851484655,8.347293888209558e-05,5.2354254422116435,4.266323057063178,0.0062194942770899065
DDIT3,1.673551998984924,8.418763032020964e-05,5.623520184421153,3.949968185436229,0.0062194942770899065
PMAIP1,3.2126416723666287,8.481118974740344e-05,3.7937473178164858,0.581105645449857,0.0062194942770899065
RP11-84G21.1,0.34085263972177227,8.50598802981807e-05,0.531029420618448,0.19017678089667578,0.0062194942770899065
GALK2,0.46067118101941373,8.5339472846116e-05,2.335837375758941,1.8751661947395273,0.0062194942770899065
MYO9A,-0.5246587922124641,8.578387051479003e-05,1.6903524542822836,2.215011246494748,0.0062194942770899065
IL15RA,2.0300808223755213,8.583261137532523e-05,3.515624651831434,1.485543829455913,0.0062194942770899065
POGZ,-0.3554247032901583,8.588095335805339e-05,2.4982318215231625,2.8536565248133208,0.0062194942770899065
CTC-512J14.5,0.4763934656055886,8.599356225387196e-05,1.6566596382155097,1.180266172609921,0.0062194942770899065
RP11-53B2.2,-0.791456921800038,8.633514680654819e-05,0.3506208001301276,1.1420777219301657,0.0062194942770899065
FAM122B,-0.47262810580284,8.924615078035621e-05,0.8406364469025268,1.3132645527053668,0.0063802757511552755
DNHD1,1.1275463185699373,8.970937981451256e-05,3.0065559911274096,1.8790096725574723,0.0063802757511552755
GTF2A1,1.4438662512275418,8.971723608979835e-05,3.7387455936986163,2.2948793424710745,0.0063802757511552755
CCL5,3.3449158754845723,9.060297420714446e-05,4.8614583520883805,1.516542476603808,0.006385307748942669
C5orf42,-0.47103184447816715,9.086078569109237e-05,1.4947453306883296,1.9657771751664967,0.006385307748942669
INPP5A,1.053118053284718,9.307429820353458e-05,2.595323275195889,1.5422052219111708,0.006385307748942669
NCF2,-1.265239712345478,9.32051708344032e-05,6.583028791951376,7.848268504296854,0.006385307748942669
HSPA13,0.817564406696206,9.333438587161093e-05,3.4778568903306173,2.6602924836344113,0.006385307748942669
