symbol,name,log2FC,baseMean,stat,pvalue,padj,is_ISG,is_proviral,is_antiviral
DLEU2L,deleted in lymphocytic leukemia 2 like,-4.287543209831624,13.822569512824472,-3.484906513960587,0.0004923090126113,0.032897157529297,False,False,False
IRS2,insulin receptor substrate 2,1.535560404021074,78.46624890023779,3.48483921982807,0.0004924328373946,0.032897157529297,False,False,False
SERAC1,serine active site containing 1,1.0720807648568758,529.7884451967916,3.476738548394117,0.0005075524937489,0.0335800710668149,False,False,False
BHLHE41,basic helix-loop-helix family member e41,2.8813217770762782,26.804247960372663,3.477561532478929,0.000505996896397,0.0335800710668149,False,False,False
KCNK6,potassium two pore domain channel subfamily K member 6,-6.773985004246137,12.945930637147002,-3.4717088193265675,0.0005171569445094,0.0340818547297604,False,False,False
PCNT,pericentrin,-1.1269751037231364,423.3830965679334,-3.4480662854821813,0.0005646154544464,0.0362606353232192,False,False,False
MTATP8P1,MT-ATP8 pseudogene 1,-1.843889865454696,59.68098147603699,-3.425153555062318,0.0006144520307425,0.0386806724278263,False,False,False
APOD,apolipoprotein D,-3.5122721774411,16.22511800202397,-3.417972777947344,0.0006308941664345,0.0395680872933702,False,False,False
TAS2R14,taste 2 receptor member 14,1.8836152829532264,50.47588735599229,3.4151521130497127,0.0006374640139888,0.0398081586940301,False,False,False
KRT15,keratin 15,-4.075399011593713,22.13164210370413,-3.403578217299184,0.0006650936786619,0.0409102536918636,False,False,False
LPXN,leupaxin,1.9352070289234884,142.03378723925542,3.3712783135068336,0.0007482022898253,0.0430816410636294,False,False,False
DAZAP2P1,DAZ associated protein 2 pseudogene 1,-2.375029617699408,27.17831821898087,-3.3764683064805188,0.0007342283051016,0.0430816410636294,False,False,False
ZNF671,zinc finger protein 671,1.175103971185162,216.6580659726865,3.3781094932614555,0.0007298601333214,0.0430816410636294,False,False,False
CREBRF,CREB3 regulatory factor,1.5218977264801874,215.5071232528264,3.3662813978779047,0.0007618894295082,0.0435723273397743,False,False,False
CA4,carbonic anhydrase 4,-3.3090771536843637,628.7353226543199,-3.3602665499681685,0.000778673069844,0.0440838703400639,False,False,False
GTSE1-DT,GTSE1 divergent transcript,-6.538725681271856,12.72775960416527,-3.343148922898644,0.0008283343345193,0.0461215463949714,False,False,False
,,-5.801579032102807,10.139282305031475,-3.3373296027588317,0.0008458757122584,0.0469231446658129,False,False,False
VDR,vitamin D receptor,-5.708873300140514,10.721150268152975,-3.3263741038136483,0.0008798375533061,0.0481939589669753,False,False,False
SLC35E4,solute carrier family 35 member E4,-4.285695837192149,14.883564954002036,-3.3108995434798665,0.0009299658701696,0.0492772298381111,False,False,False
ISL2,ISL LIM homeobox 2,1.2161301147202508,420.0855714437345,3.309083124898029,0.0009360204242477,0.0492772298381111,False,False,False
SLC39A4,solute carrier family 39 member 4,-2.77613335628054,30.131788056270675,-3.3080590160211543,0.0009394501007513,0.0492772298381111,False,False,False
MIDN,midnolin,-1.0660725657117716,255.07937007455087,-3.307744573369961,0.0009405054832476,0.0492772298381111,False,False,False
BMS1P8,BMS1 pseudogene 8,1.2388077147621392,441.0374329567154,3.310367506339108,0.000931735507977,0.0492772298381111,False,False,False
