symbol,name,log2FC,baseMean,stat,pvalue,padj,is_ISG,is_proviral,is_antiviral
COCH,cochlin,-1.0293912584086735,7451.077823624102,-3.822996038886617,0.000131839898339,0.0047297974501386,False,False,False
BTBD19,BTB domain containing 19,1.5666613436188517,100.81839308266174,3.8134438489258,0.0001370436728176,0.0048799759335515,False,False,False
ABHD17B,"abhydrolase domain containing 17B, depalmitoylase",-1.008279575696322,427.1635693862296,-3.807801342646317,0.0001402078337796,0.0049803207327247,False,False,False
WDCP,WD repeat and coiled coil containing,-1.2760819326186832,320.6421513097512,-3.8019665128574047,0.000143552133388,0.0050740564887469,False,False,False
DUSP16,dual specificity phosphatase 16,1.0391104763644312,514.1668176976318,3.797181132169542,0.0001463508521042,0.0051386249591616,False,False,False
ZNF700,zinc finger protein 700,-1.2841486603975458,338.2768509235348,-3.7970124205903306,0.0001464504541398,0.0051386249591616,False,False,False
,,1.603270636507201,105.83180844356563,3.791928321354392,0.0001494820632265,0.0052068982120513,False,False,False
PABPC1L,poly(A) binding protein cytoplasmic 1 like,1.2053929759155235,278.56338641900203,3.789470284242009,0.0001509688686387,0.0052459858556437,False,False,False
CRELD2,CRELD disulfide isomerase 2,1.0111640365062862,9288.7033875842,3.78643322303333,0.0001528251405967,0.0052863655261021,False,False,False
MACC1-OT1,MACC1 3' UTR overlapping transcript 1,1.6041366330563405,91.32411914683618,3.7857903238756343,0.0001532208305096,0.0052863655261021,False,False,False
ALG10,"ALG10 alpha-1,2-glucosyltransferase",-1.0908388542840584,244.6236311121924,-3.783909536331017,0.0001543839574184,0.0053133196445486,False,False,False
ZNF19,zinc finger protein 19,1.3380095893045485,157.32970320857044,3.776766160846027,0.0001588777655643,0.005429015523535,False,False,False
CHML,CHM like Rab escort protein,-1.074266086377618,641.3461717218281,-3.773942358828852,0.0001606879027687,0.0054649082014927,False,False,False
