symbol,sample_1,sample_2,value_1,value_2,log2FoldChange,pvalue,sig_flag,padj
LOC151009,Mock,ZIKV,0.407373,0.288952,-0.495519,1.0,no,1.0
GCNT1,Mock,ZIKV,2.33216,1.65461,-0.495173,0.0014,yes,0.0014
LOC283194,Mock,ZIKV,0.446052,0.316473,-0.495128,1.0,no,1.0
DEK,Mock,ZIKV,93.5364,66.365,-0.495106,5e-05,yes,5e-05
SLCO1A2,Mock,ZIKV,0.186689,0.132461,-0.495066,1.0,no,1.0
LEAP2,Mock,ZIKV,1.06694,0.757069,-0.494985,0.32155,no,0.32155
ST3GAL1,Mock,ZIKV,2.71616,1.92736,-0.494944,0.0003,yes,0.0003
LOC100131691,Mock,ZIKV,1.1485,0.814969,-0.494937,0.30445,no,0.30445
PPIA,Mock,ZIKV,288.897,205.022,-0.494776,5e-05,yes,5e-05
PAGR1,Mock,ZIKV,27.9818,19.8591,-0.494686,5e-05,yes,5e-05
CASP7,Mock,ZIKV,4.05722,2.87963,-0.49461,0.0016,yes,0.0016
HYI,Mock,ZIKV,6.92191,4.91399,-0.494276,0.25315,no,0.25315
CYB561D1,Mock,ZIKV,4.16,2.95334,-0.494237,0.0002,yes,0.0002
MEFV,Mock,ZIKV,0.388058,0.275629,-0.493544,1.0,no,1.0
TMEM110-MUSTN1,Mock,ZIKV,0.657848,0.467329,-0.493315,0.7554,no,0.7554
MYCL1,Mock,ZIKV,18.3471,13.0336,-0.493312,5e-05,yes,5e-05
SLC35A3,Mock,ZIKV,5.09531,3.61978,-0.493268,5e-05,yes,5e-05
SPATA24,Mock,ZIKV,4.31179,3.06322,-0.493237,0.0871,no,0.0871
SPATA20,Mock,ZIKV,8.32846,5.91679,-0.493234,0.0002,yes,0.0002
LRFN4,Mock,ZIKV,21.4437,15.2346,-0.493202,0.00045,yes,0.00045
ERV3-1,Mock,ZIKV,24.6148,17.4878,-0.493183,0.02275,yes,0.02275
SLC14A2,Mock,ZIKV,0.316449,0.224826,-0.49316,1.0,no,1.0
ANAPC13,Mock,ZIKV,48.5221,34.4755,-0.49307,0.0007,yes,0.0007
DLX1,Mock,ZIKV,4.87571,3.46443,-0.492994,0.00185,yes,0.00185
KRIT1,Mock,ZIKV,8.17159,5.80718,-0.492778,5e-05,yes,5e-05
CCDC40,Mock,ZIKV,13.1896,9.37414,-0.492642,5e-05,yes,5e-05
NOD1,Mock,ZIKV,1.57283,1.11801,-0.492431,0.00605,yes,0.00605
IDI2,Mock,ZIKV,2.85432,2.02935,-0.492125,0.6903,no,0.6903
LOC100288842,Mock,ZIKV,2.67703,1.90354,-0.491946,0.18585,no,0.18585
ASPDH,Mock,ZIKV,0.351306,0.249823,-0.491823,1.0,no,1.0
FASTKD1,Mock,ZIKV,5.5725,3.96332,-0.491615,0.00045,yes,0.00045
ITGB1BP1,Mock,ZIKV,16.6875,11.872,-0.491205,5e-05,yes,5e-05
ZNF532,Mock,ZIKV,57.0884,40.6171,-0.491112,5e-05,yes,5e-05
AK2,Mock,ZIKV,22.6084,16.0872,-0.490945,5e-05,yes,5e-05
GNG13,Mock,ZIKV,1.01091,0.719438,-0.490712,0.7513,no,0.7513
LOC100131320,Mock,ZIKV,0.0882296,0.0627964,-0.49058,1.0,no,1.0
CELSR2,Mock,ZIKV,80.3564,57.2001,-0.490396,5e-05,yes,5e-05
ADAM12,Mock,ZIKV,2.13796,1.52216,-0.490112,0.00075,yes,0.00075
LOC100287846,Mock,ZIKV,0.168247,0.119796,-0.489994,1.0,no,1.0
C19orf60,Mock,ZIKV,26.1186,18.599,-0.48985,0.00045,yes,0.00045
COL9A3,Mock,ZIKV,0.97794,0.696396,-0.489839,0.29555,no,0.29555
PRDX1,Mock,ZIKV,252.938,180.124,-0.489793,5e-05,yes,5e-05
COBLL1,Mock,ZIKV,1.50097,1.06947,-0.489005,0.0073,yes,0.0073
C1orf74,Mock,ZIKV,1.26997,0.90488,-0.488997,0.1159,no,0.1159
FDXACB1,Mock,ZIKV,1.43016,1.01908,-0.488906,0.0823,no,0.0823
FITM1,Mock,ZIKV,0.500478,0.356625,-0.488897,1.0,no,1.0
KDM5B-AS1,Mock,ZIKV,8.9169,6.35466,-0.488727,0.018,yes,0.018
MLC1,Mock,ZIKV,0.698593,0.498031,-0.488217,0.0646,no,0.0646
GFM2,Mock,ZIKV,16.8548,12.0163,-0.488168,0.00795,yes,0.00795
